Market,Order_Region,orders,late_delivery_rate,avg_delay_days
Africa,Central Africa,556,0.607036374478235,0.6398330351818724
Europe,Western Europe,10010,0.5851562211811575,0.5974030764690693
Pacific Asia,South Asia,3335,0.5850472125210193,0.5974647522959514
USCA,South of  USA ,1345,0.580964153275649,0.5799752781211372
Pacific Asia,Southeast Asia,4356,0.5798301708774505,0.5582346157878184
USCA,East of USA,2323,0.5797541576283441,0.5848156182212582
Pacific Asia,West Asia,2022,0.5749708770178066,0.5694791146613413
Africa,East Africa,613,0.5745140388768899,0.5707343412526998
Europe,Eastern Europe,1292,0.5744897959183674,0.5798469387755102
LATAM,Central America,9396,0.5724568646131047,0.5619420627359656
LATAM,South America,4979,0.5723468362905926,0.5563441580180783
Pacific Asia,Central Asia,184,0.5714285714285714,0.6455696202531646
USCA,US Center ,1935,0.5712587056225582,0.5872260913878037
Pacific Asia,Eastern Asia,3318,0.5673076923076923,0.5664835164835165
Europe,Southern Europe,3543,0.567278125331354,0.5156399109320327
Africa,North Africa,1064,0.5668316831683168,0.5522896039603961
USCA,West of USA ,2667,0.5659952458401101,0.5572375828850245
Europe,Northern Europe,3716,0.5641339869281046,0.546875
Africa,Southern Africa,398,0.5626620570440796,0.4788245462402766
Pacific Asia,Oceania,4362,0.5610957824201813,0.556267244777296
LATAM,Caribbean,2806,0.5587881702332291,0.5465256071170954
Africa,West Africa,1223,0.5500541125541125,0.5505952380952381
USCA,Canada,309,0.5192909280500522,0.3910323253388947
