Product_Name,Category_Name,orders,total_sales,total_profit,avg_profit_margin
SOLE E35 Elliptical,Strength Training,15,29999.849850000002,-965.1199681599999,-0.032170826620320565
Bushnell Pro X7 Jolt Slope Rangefinder,Kids' Golf Clubs,8,6599.889892199999,-255.95000272,-0.03878095042502019
SOLE E25 Elliptical,Basketball,10,9999.899902,-169.55999709999992,-0.01695616943786484
GoPro HERO3+ Black Edition Camera,Strength Training,32,12799.679686399997,245.63005111699977,0.019190327971877974
Diamondback Girls' Clarity 24 Hybrid Bike 201,Basketball,27,8399.7197256,284.420003054,0.03386065396767551
Polar Loop Activity Tracker,Kids' Golf Clubs,53,5937.299832599998,326.200001112,0.054940799742153816
Cleveland Golf Women's 588 RTX CB Satin Chrom,Golf Apparel,70,8399.299853000008,370.61000591399977,0.0441239165645013
CDs of rock,CDs ,271,3059.589989159997,383.8499996369999,0.12545798652661458
Garmin Forerunner 910XT GPS Watch,Kids' Golf Clubs,35,13999.649656999998,391.1299896300001,0.027938555550526226
Stiga Master Series ST3100 Competition Indoor,Hockey,25,8909.729735399998,479.28001602999996,0.05379287927508418
GolfBuddy VT3 GPS Watch,Kids' Golf Clubs,59,11799.410324499995,569.0200101120001,0.04822444465131458
Nike Men's Fingertrap Max Training Shoe,Soccer,63,7999.359865600004,602.379973462,0.07530352222962754
Nike Men's Free TR 5.0 TB Training Shoe,As Seen on  TV!,68,20597.939964179997,714.4299797090005,0.055009105213770206
TaylorMade 2014 Purelite Stand Bag,Golf Gloves,65,11699.350357499992,730.1800107449999,0.062412013353964534
Total Gym 1400,Cleats,35,10799.639647199998,808.62000838,0.07487472126809797
Clicgear 8.0 Shoe Brush,Golf Gloves,284,8871.119937155996,815.5400043900001,0.11068320045018822
Sports Books ,Books ,405,12587.399967599975,883.0100077940001,0.07015030983895565
Toys ,Toys,529,6104.659978840051,900.7100003560001,0.14754466317174844
Cleveland Golf Collegiate My Custom Wedge 588,Women's Golf Clubs,65,13649.35035749999,955.0999417959999,0.06997402197029799
Titleist Small Wheeled Travel Cover,Golf Gloves,54,13499.460296999992,1011.6500539170002,0.07494003698368744
Merrell Women's Grassbow Sport Waterproof Hik,Men's Golf Clubs,58,7539.4203189999935,1029.709990869,0.13657681191669874
insta-bed Neverflat Air Mattress,Hunting & Shooting,59,8999.400329999995,1036.619995346,0.11518767443763668
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,Strength Training,64,12096.0,1051.8000075700002,0.08695436570519184
Pelican Maverick 100X Kayak,Water Sports,40,13999.599607999995,1070.5900172240001,0.07647290259731548
Nike Men's Kobe IX Elite Low Basketball Shoe,Shop By Sport,62,12599.370346499994,1080.649983628,0.08577015786572187
